--------------------Training--------------------
arch_str :: |lstm_1~0|+|lstm_1~0|lstm_2~1|[linear]
model :: 3A
InferCell(
  info :: nodes=3, inC=1, outC=64, [1<-(I0-L0) | 2<-(I0-L1,I1-L2)], genotype_str: lstm_1~0|lstm_1~0|lstm_2~1
  linear_layers: [linear]
  (layers): ModuleList(
    (0-1): 2 x LSTM(
      (lstm): LSTM(1, 64, batch_first=True)
    )
    (2): LSTM(
      (lstm): LSTM(64, 64, num_layers=2, batch_first=True)
    )
  )
  (linear_layers): ModuleList(
    (0): Linear(in_features=3072, out_features=1, bias=True)
  )
)
tr_params :: epochs = 100, patience = 20, batch_size = 256, window_size = 48, data_size = 100
Model MACs: 4.943M, Model Params: 103.937K
learning rate scheduling :: (optimizer, mode='min', factor=0.1, patience=5, verbose=True)
total_samples :: train_dataset = 2136000, train_dataloader = 2136000
total_samples :: valid_dataset = 283200, valid_dataloader = 283200
Epoch ::  1 || Loss: 0.42077639 || it_count: 8344 || Val Loss: 0.44694970 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:04:19.78
Epoch ::  2 || Loss: 0.41883030 || it_count: 8344 || Val Loss: 0.44671668 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:08:39.81
Epoch ::  3 || Loss: 0.41851897 || it_count: 8344 || Val Loss: 0.45151970 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:13:0.84
Epoch ::  4 || Loss: 0.41819252 || it_count: 8344 || Val Loss: 0.44353791 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:17:20.47
Epoch ::  5 || Loss: 0.41793083 || it_count: 8344 || Val Loss: 0.44406678 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:21:39.84
Epoch ::  6 || Loss: 0.41788687 || it_count: 8344 || Val Loss: 0.44333466 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:25:59.36
Epoch ::  7 || Loss: 0.41767838 || it_count: 8344 || Val Loss: 0.44324513 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:30:19.28
Epoch ::  8 || Loss: 0.41746572 || it_count: 8344 || Val Loss: 0.44280583 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:34:39.53
Epoch ::  9 || Loss: 0.41746578 || it_count: 8344 || Val Loss: 0.44267781 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:39:3.70
Epoch :: 10 || Loss: 0.41730745 || it_count: 8344 || Val Loss: 0.44208523 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:43:26.06
Epoch :: 11 || Loss: 0.41712191 || it_count: 8344 || Val Loss: 0.44236576 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:47:47.14
Epoch :: 12 || Loss: 0.41680374 || it_count: 8344 || Val Loss: 0.44211907 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:52:8.73
Epoch :: 13 || Loss: 0.41656462 || it_count: 8344 || Val Loss: 0.44223532 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:56:30.91
Epoch :: 14 || Loss: 0.41648573 || it_count: 8344 || Val Loss: 0.44201163 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 01:00:50.33
Epoch :: 15 || Loss: 0.41638670 || it_count: 8344 || Val Loss: 0.44249781 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 01:05:11.84
Epoch :: 16 || Loss: 0.41646794 || it_count: 8344 || Val Loss: 0.44095210 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 01:09:32.78
Epoch :: 17 || Loss: 0.41627926 || it_count: 8344 || Val Loss: 0.44032121 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 01:13:49.27
Epoch :: 18 || Loss: 0.41621758 || it_count: 8344 || Val Loss: 0.44036438 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 01:18:9.94
Epoch :: 19 || Loss: 0.41612854 || it_count: 8344 || Val Loss: 0.44043335 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 01:22:30.28
Epoch :: 20 || Loss: 0.41604552 || it_count: 8344 || Val Loss: 0.44019388 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 01:26:51.21
Epoch :: 21 || Loss: 0.41582861 || it_count: 8344 || Val Loss: 0.44005544 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 01:31:12.12
Epoch :: 22 || Loss: 0.41571864 || it_count: 8344 || Val Loss: 0.43985417 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 01:35:30.64
Epoch :: 23 || Loss: 0.41563359 || it_count: 8344 || Val Loss: 0.44009819 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 01:39:50.25
Epoch :: 24 || Loss: 0.41557408 || it_count: 8344 || Val Loss: 0.44208919 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 01:44:8.03
Epoch :: 25 || Loss: 0.41556884 || it_count: 8344 || Val Loss: 0.43989003 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 01:48:26.95
Epoch :: 26 || Loss: 0.41547778 || it_count: 8344 || Val Loss: 0.43976316 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 01:52:50.00
Epoch :: 27 || Loss: 0.41544695 || it_count: 8344 || Val Loss: 0.43951701 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 01:57:12.57
Epoch :: 28 || Loss: 0.41539474 || it_count: 8344 || Val Loss: 0.43943523 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 02:01:34.29
Epoch :: 29 || Loss: 0.41531001 || it_count: 8344 || Val Loss: 0.43934072 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 02:05:55.34
