--------------------Training--------------------
arch_str :: |lstm_3~0|+|lstm_2~0|skip_connect~1|[linear]
model :: 3A
InferCell(
  info :: nodes=3, inC=1, outC=64, [1<-(I0-L0) | 2<-(I0-L1,I1-L2)], genotype_str: lstm_3~0|lstm_2~0|skip_connect~1
  linear_layers: [linear]
  (layers): ModuleList(
    (0): LSTM(
      (lstm): LSTM(1, 64, num_layers=3, batch_first=True)
    )
    (1): LSTM(
      (lstm): LSTM(1, 64, num_layers=2, batch_first=True)
    )
    (2): Identity()
  )
  (linear_layers): ModuleList(
    (0): Linear(in_features=3072, out_features=1, bias=True)
  )
)
tr_params :: epochs = 100, patience = 20, batch_size = 256, window_size = 48, data_size = 100
Model MACs: 6.565M, Model Params: 137.217K
learning rate scheduling :: (optimizer, mode='min', factor=0.1, patience=5, verbose=True)
total_samples :: train_dataset = 2136000, train_dataloader = 2136000
total_samples :: valid_dataset = 283200, valid_dataloader = 283200
Epoch ::  1 || Loss: 0.42151494 || it_count: 8344 || Val Loss: 0.44947560 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:04:24.58
Epoch ::  2 || Loss: 0.41862083 || it_count: 8344 || Val Loss: 0.45000228 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:08:47.49
Epoch ::  3 || Loss: 0.41802398 || it_count: 8344 || Val Loss: 0.44864247 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:13:14.54
Epoch ::  4 || Loss: 0.41768877 || it_count: 8344 || Val Loss: 0.44808530 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:17:40.31
Epoch ::  5 || Loss: 0.41697231 || it_count: 8344 || Val Loss: 0.44824894 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:22:5.47
Epoch ::  6 || Loss: 0.41686280 || it_count: 8344 || Val Loss: 0.44806763 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:26:34.46
Epoch ::  7 || Loss: 0.41679891 || it_count: 8344 || Val Loss: 0.44752121 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:31:1.05
Epoch ::  8 || Loss: 0.41663794 || it_count: 8344 || Val Loss: 0.44677166 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:35:25.40
Epoch ::  9 || Loss: 0.41656518 || it_count: 8344 || Val Loss: 0.44629814 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:39:52.72
Epoch :: 10 || Loss: 0.41600216 || it_count: 8344 || Val Loss: 0.44595086 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:44:20.84
Epoch :: 11 || Loss: 0.41558936 || it_count: 8344 || Val Loss: 0.44474262 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:48:46.65
Epoch :: 12 || Loss: 0.41529484 || it_count: 8344 || Val Loss: 0.44410124 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:53:10.05
Epoch :: 13 || Loss: 0.41510389 || it_count: 8344 || Val Loss: 0.44383985 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:57:34.72
Epoch :: 14 || Loss: 0.41477624 || it_count: 8344 || Val Loss: 0.44331508 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 01:02:0.27
Epoch :: 15 || Loss: 0.41449449 || it_count: 8344 || Val Loss: 0.44303180 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 01:06:29.12
Epoch :: 16 || Loss: 0.41418637 || it_count: 8344 || Val Loss: 0.44442356 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 01:10:54.84
Epoch :: 17 || Loss: 0.41360951 || it_count: 8344 || Val Loss: 0.44727995 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 01:15:24.16
Epoch :: 18 || Loss: 0.41355845 || it_count: 8344 || Val Loss: 0.44783335 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 01:19:53.19
