--------------------Training--------------------
arch_str :: |none~0|+|lstm_1~0|skip_connect~1|[linear]
model :: 3A
InferCell(
  info :: nodes=3, inC=1, outC=64, [1<-(I0-L0) | 2<-(I0-L1,I1-L2)], genotype_str: none~0|lstm_1~0|skip_connect~1
  linear_layers: [linear]
  (layers): ModuleList(
    (0): Zero(C_in=1, C_out=64, stride=1)
    (1): LSTM(
      (lstm): LSTM(1, 64, batch_first=True)
    )
    (2): Identity()
  )
  (linear_layers): ModuleList(
    (0): Linear(in_features=3072, out_features=1, bias=True)
  )
)
tr_params :: epochs = 100, patience = 20, batch_size = 256, window_size = 48, data_size = 100
Model MACs: 850.944K, Model Params: 20.225K
learning rate scheduling :: (optimizer, mode='min', factor=0.1, patience=5, verbose=True)
total_samples :: train_dataset = 2136000, train_dataloader = 2136000
total_samples :: valid_dataset = 283200, valid_dataloader = 283200
Epoch ::  1 || Loss: 0.42094219 || it_count: 8344 || Val Loss: 0.44792454 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:06:4.60
Epoch ::  2 || Loss: 0.41951242 || it_count: 8344 || Val Loss: 0.44604968 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:12:7.91
Epoch ::  3 || Loss: 0.41909241 || it_count: 8344 || Val Loss: 0.44586245 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:18:10.15
Epoch ::  4 || Loss: 0.41873279 || it_count: 8344 || Val Loss: 0.44546057 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:24:11.52
Epoch ::  5 || Loss: 0.41850247 || it_count: 8344 || Val Loss: 0.44412378 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:30:12.66
Epoch ::  6 || Loss: 0.41810786 || it_count: 8344 || Val Loss: 0.44301827 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:36:13.48
Epoch ::  7 || Loss: 0.41798773 || it_count: 8344 || Val Loss: 0.44170122 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:42:16.59
Epoch ::  8 || Loss: 0.41770167 || it_count: 8344 || Val Loss: 0.44026768 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:48:17.90
Epoch ::  9 || Loss: 0.41751272 || it_count: 8344 || Val Loss: 0.43918543 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:54:19.69
Epoch :: 10 || Loss: 0.41730499 || it_count: 8344 || Val Loss: 0.43824943 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 01:00:22.24
Epoch :: 11 || Loss: 0.41703755 || it_count: 8344 || Val Loss: 0.43769111 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 01:06:24.79
Epoch :: 12 || Loss: 0.41671283 || it_count: 8344 || Val Loss: 0.43786181 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 01:12:26.53
Epoch :: 13 || Loss: 0.41653360 || it_count: 8344 || Val Loss: 0.43851048 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 01:18:28.21
Epoch :: 14 || Loss: 0.41637466 || it_count: 8344 || Val Loss: 0.43882866 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 01:24:30.91
Epoch :: 15 || Loss: 0.41630512 || it_count: 8344 || Val Loss: 0.43932972 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 01:30:34.21
Epoch :: 16 || Loss: 0.41637802 || it_count: 8344 || Val Loss: 0.43916100 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 01:36:37.53
Epoch :: 17 || Loss: 0.41627988 || it_count: 8344 || Val Loss: 0.43913220 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 01:42:39.07
Epoch :: 18 || Loss: 0.41624020 || it_count: 8344 || Val Loss: 0.43923484 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 01:48:40.08
Epoch :: 19 || Loss: 0.41612560 || it_count: 8344 || Val Loss: 0.43935575 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 01:54:41.86
Epoch :: 20 || Loss: 0.41611949 || it_count: 8344 || Val Loss: 0.43953540 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 02:00:44.15
Epoch :: 21 || Loss: 0.41603079 || it_count: 8344 || Val Loss: 0.43946830 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 02:06:45.91
Epoch :: 22 || Loss: 0.41593572 || it_count: 8344 || Val Loss: 0.43989042 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 02:12:47.33
Epoch 00007: reducing learning rate of group 0 to 1.0000e-04.
Epoch :: 23 || Loss: 0.41586060 || it_count: 8344 || Val Loss: 0.43998290 || Val it_count: 1107 || Current Learning Rate: 0.0001 || Time: 02:18:49.65
Epoch :: 24 || Loss: 0.42105426 || it_count: 8344 || Val Loss: 0.42628318 || Val it_count: 1107 || Current Learning Rate: 0.0001 || Time: 02:24:51.81
Epoch :: 25 || Loss: 0.41729313 || it_count: 8344 || Val Loss: 0.42494628 || Val it_count: 1107 || Current Learning Rate: 0.0001 || Time: 02:30:54.48
Epoch :: 26 || Loss: 0.41618138 || it_count: 8344 || Val Loss: 0.42433148 || Val it_count: 1107 || Current Learning Rate: 0.0001 || Time: 02:36:58.57
Epoch :: 27 || Loss: 0.41583477 || it_count: 8344 || Val Loss: 0.42418327 || Val it_count: 1107 || Current Learning Rate: 0.0001 || Time: 02:43:1.13
Epoch :: 28 || Loss: 0.41571413 || it_count: 8344 || Val Loss: 0.42411467 || Val it_count: 1107 || Current Learning Rate: 0.0001 || Time: 02:49:2.22
Epoch :: 29 || Loss: 0.41563082 || it_count: 8344 || Val Loss: 0.42408804 || Val it_count: 1107 || Current Learning Rate: 0.0001 || Time: 02:55:5.23
Epoch :: 30 || Loss: 0.41556254 || it_count: 8344 || Val Loss: 0.42408640 || Val it_count: 1107 || Current Learning Rate: 0.0001 || Time: 03:01:7.59
Epoch :: 31 || Loss: 0.41550036 || it_count: 8344 || Val Loss: 0.42410997 || Val it_count: 1107 || Current Learning Rate: 0.0001 || Time: 03:07:10.18
Epoch :: 32 || Loss: 0.41544372 || it_count: 8344 || Val Loss: 0.42412458 || Val it_count: 1107 || Current Learning Rate: 0.0001 || Time: 03:13:12.62
Epoch :: 33 || Loss: 0.41538775 || it_count: 8344 || Val Loss: 0.42413695 || Val it_count: 1107 || Current Learning Rate: 0.0001 || Time: 03:19:14.90
Epoch 00018: reducing learning rate of group 0 to 1.0000e-05.
Epoch :: 34 || Loss: 0.41533221 || it_count: 8344 || Val Loss: 0.42414611 || Val it_count: 1107 || Current Learning Rate: 1e-05 || Time: 03:25:17.72
Epoch :: 35 || Loss: 0.41616428 || it_count: 8344 || Val Loss: 0.42068309 || Val it_count: 1107 || Current Learning Rate: 1e-05 || Time: 03:31:20.53
Epoch :: 36 || Loss: 0.41561271 || it_count: 8344 || Val Loss: 0.42020251 || Val it_count: 1107 || Current Learning Rate: 1e-05 || Time: 03:37:23.05
Epoch :: 37 || Loss: 0.41547047 || it_count: 8344 || Val Loss: 0.42004191 || Val it_count: 1107 || Current Learning Rate: 1e-05 || Time: 03:43:28.74
Epoch :: 38 || Loss: 0.41541259 || it_count: 8344 || Val Loss: 0.41995732 || Val it_count: 1107 || Current Learning Rate: 1e-05 || Time: 03:49:31.22
Epoch :: 39 || Loss: 0.41538031 || it_count: 8344 || Val Loss: 0.41990359 || Val it_count: 1107 || Current Learning Rate: 1e-05 || Time: 03:55:35.72
Epoch :: 40 || Loss: 0.41535851 || it_count: 8344 || Val Loss: 0.41986301 || Val it_count: 1107 || Current Learning Rate: 1e-05 || Time: 04:01:40.27
Epoch :: 41 || Loss: 0.41533983 || it_count: 8344 || Val Loss: 0.41982704 || Val it_count: 1107 || Current Learning Rate: 1e-05 || Time: 04:07:43.88
Epoch :: 42 || Loss: 0.41532342 || it_count: 8344 || Val Loss: 0.41979391 || Val it_count: 1107 || Current Learning Rate: 1e-05 || Time: 04:13:47.43
Epoch :: 43 || Loss: 0.41530967 || it_count: 8344 || Val Loss: 0.41976465 || Val it_count: 1107 || Current Learning Rate: 1e-05 || Time: 04:19:49.37
Epoch :: 44 || Loss: 0.41529583 || it_count: 8344 || Val Loss: 0.41973619 || Val it_count: 1107 || Current Learning Rate: 1e-05 || Time: 04:25:52.61
Epoch :: 45 || Loss: 0.41528282 || it_count: 8344 || Val Loss: 0.41970904 || Val it_count: 1107 || Current Learning Rate: 1e-05 || Time: 04:31:56.55
Epoch :: 46 || Loss: 0.41527044 || it_count: 8344 || Val Loss: 0.41968302 || Val it_count: 1107 || Current Learning Rate: 1e-05 || Time: 04:37:58.35
Epoch :: 47 || Loss: 0.41525847 || it_count: 8344 || Val Loss: 0.41965776 || Val it_count: 1107 || Current Learning Rate: 1e-05 || Time: 04:44:2.10
Epoch :: 48 || Loss: 0.41524737 || it_count: 8344 || Val Loss: 0.41963531 || Val it_count: 1107 || Current Learning Rate: 1e-05 || Time: 04:50:5.66
Epoch :: 49 || Loss: 0.41523591 || it_count: 8344 || Val Loss: 0.41961221 || Val it_count: 1107 || Current Learning Rate: 1e-05 || Time: 04:56:9.39
Epoch :: 50 || Loss: 0.41522478 || it_count: 8344 || Val Loss: 0.41958948 || Val it_count: 1107 || Current Learning Rate: 1e-05 || Time: 05:02:12.88
Epoch :: 51 || Loss: 0.41521386 || it_count: 8344 || Val Loss: 0.41956731 || Val it_count: 1107 || Current Learning Rate: 1e-05 || Time: 05:08:16.84
Epoch :: 52 || Loss: 0.41520308 || it_count: 8344 || Val Loss: 0.41954570 || Val it_count: 1107 || Current Learning Rate: 1e-05 || Time: 05:14:19.90
Epoch :: 53 || Loss: 0.41519240 || it_count: 8344 || Val Loss: 0.41952464 || Val it_count: 1107 || Current Learning Rate: 1e-05 || Time: 05:20:22.02
Epoch :: 54 || Loss: 0.41518179 || it_count: 8344 || Val Loss: 0.41950412 || Val it_count: 1107 || Current Learning Rate: 1e-05 || Time: 05:26:25.33
Epoch :: 55 || Loss: 0.41517124 || it_count: 8344 || Val Loss: 0.41948414 || Val it_count: 1107 || Current Learning Rate: 1e-05 || Time: 05:32:27.78
Epoch :: 56 || Loss: 0.41516072 || it_count: 8344 || Val Loss: 0.41946470 || Val it_count: 1107 || Current Learning Rate: 1e-05 || Time: 05:38:31.28
Epoch :: 57 || Loss: 0.41515021 || it_count: 8344 || Val Loss: 0.41944577 || Val it_count: 1107 || Current Learning Rate: 1e-05 || Time: 05:44:33.90
Epoch :: 58 || Loss: 0.41513970 || it_count: 8344 || Val Loss: 0.41942735 || Val it_count: 1107 || Current Learning Rate: 1e-05 || Time: 05:50:36.34
Epoch :: 59 || Loss: 0.41512918 || it_count: 8344 || Val Loss: 0.41940941 || Val it_count: 1107 || Current Learning Rate: 1e-05 || Time: 05:56:39.39
Epoch :: 60 || Loss: 0.41511862 || it_count: 8344 || Val Loss: 0.41939195 || Val it_count: 1107 || Current Learning Rate: 1e-05 || Time: 06:02:42.26
Epoch :: 61 || Loss: 0.41510800 || it_count: 8344 || Val Loss: 0.41937494 || Val it_count: 1107 || Current Learning Rate: 1e-05 || Time: 06:08:45.15
Epoch :: 62 || Loss: 0.41509732 || it_count: 8344 || Val Loss: 0.41935835 || Val it_count: 1107 || Current Learning Rate: 1e-05 || Time: 06:14:47.19
Epoch :: 63 || Loss: 0.41508656 || it_count: 8344 || Val Loss: 0.41934218 || Val it_count: 1107 || Current Learning Rate: 1e-05 || Time: 06:20:50.13
Epoch :: 64 || Loss: 0.41507570 || it_count: 8344 || Val Loss: 0.41932639 || Val it_count: 1107 || Current Learning Rate: 1e-05 || Time: 06:26:52.95
Epoch :: 65 || Loss: 0.41506471 || it_count: 8344 || Val Loss: 0.41931096 || Val it_count: 1107 || Current Learning Rate: 1e-05 || Time: 06:32:53.99
Epoch :: 66 || Loss: 0.41505359 || it_count: 8344 || Val Loss: 0.41929588 || Val it_count: 1107 || Current Learning Rate: 1e-05 || Time: 06:38:56.12
Epoch :: 67 || Loss: 0.41504232 || it_count: 8344 || Val Loss: 0.41928112 || Val it_count: 1107 || Current Learning Rate: 1e-05 || Time: 06:44:59.64
Epoch :: 68 || Loss: 0.41503087 || it_count: 8344 || Val Loss: 0.41926669 || Val it_count: 1107 || Current Learning Rate: 1e-05 || Time: 06:51:3.82
Epoch :: 69 || Loss: 0.41501923 || it_count: 8344 || Val Loss: 0.41925256 || Val it_count: 1107 || Current Learning Rate: 1e-05 || Time: 06:57:7.49
Epoch :: 70 || Loss: 0.41500738 || it_count: 8344 || Val Loss: 0.41923873 || Val it_count: 1107 || Current Learning Rate: 1e-05 || Time: 07:03:12.22
Epoch :: 71 || Loss: 0.41499531 || it_count: 8344 || Val Loss: 0.41922519 || Val it_count: 1107 || Current Learning Rate: 1e-05 || Time: 07:09:14.35
