--------------------Training--------------------
arch_str :: |lstm_1~0|+|lstm_1~0|lstm_3~1|[dropout->linear]
model :: 3B
InferCell(
  info :: nodes=3, inC=1, outC=64, [1<-(I0-L0) | 2<-(I0-L1,I1-L2)], genotype_str: lstm_1~0|lstm_1~0|lstm_3~1
  linear_layers: [dropout->linear]
  (layers): ModuleList(
    (0-1): 2 x LSTM(
      (lstm): LSTM(1, 64, batch_first=True)
    )
    (2): LSTM(
      (lstm): LSTM(64, 64, num_layers=3, batch_first=True)
    )
  )
  (linear_layers): ModuleList(
    (0): Dropout(p=0.1, inplace=False)
    (1): Linear(in_features=3072, out_features=1, bias=True)
  )
)
tr_params :: epochs = 100, patience = 20, batch_size = 256, window_size = 48, data_size = 100
Model MACs: 6.565M, Model Params: 137.217K
learning rate scheduling :: (optimizer, mode='min', factor=0.1, patience=5, verbose=True)
total_samples :: train_dataset = 2136000, train_dataloader = 2136000
total_samples :: valid_dataset = 283200, valid_dataloader = 283200
Epoch ::  1 || Loss: 0.42208034 || it_count: 8344 || Val Loss: 0.44749125 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:12:25.65
Epoch ::  2 || Loss: 0.41990417 || it_count: 8344 || Val Loss: 0.44538984 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:24:50.64
Epoch ::  3 || Loss: 0.41940896 || it_count: 8344 || Val Loss: 0.44381238 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:37:53.98
Epoch ::  4 || Loss: 0.41911715 || it_count: 8344 || Val Loss: 0.44304809 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:50:54.36
Epoch ::  5 || Loss: 0.41889799 || it_count: 8344 || Val Loss: 0.44223112 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 01:03:34.71
Epoch ::  6 || Loss: 0.41859275 || it_count: 8344 || Val Loss: 0.43981097 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 01:16:39.15
Epoch ::  7 || Loss: 0.41847837 || it_count: 8344 || Val Loss: 0.44209537 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 01:29:43.98
Epoch ::  8 || Loss: 0.41837784 || it_count: 8344 || Val Loss: 0.44197802 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 01:43:3.66
Epoch ::  9 || Loss: 0.41831660 || it_count: 8344 || Val Loss: 0.44112334 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 01:56:20.60
Epoch :: 10 || Loss: 0.41820716 || it_count: 8344 || Val Loss: 0.44127123 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 02:09:32.34
Epoch :: 11 || Loss: 0.41810175 || it_count: 8344 || Val Loss: 0.44195386 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 02:22:41.20
