--------------------Training--------------------
arch_str :: |lstm_1~0|+|lstm_1~0|skip_connect~1|[dropout->linear]
model :: 3B
InferCell(
  info :: nodes=3, inC=1, outC=64, [1<-(I0-L0) | 2<-(I0-L1,I1-L2)], genotype_str: lstm_1~0|lstm_1~0|skip_connect~1
  linear_layers: [dropout->linear]
  (layers): ModuleList(
    (0-1): 2 x LSTM(
      (lstm): LSTM(1, 64, batch_first=True)
    )
    (2): Identity()
  )
  (linear_layers): ModuleList(
    (0): Dropout(p=0.1, inplace=False)
    (1): Linear(in_features=3072, out_features=1, bias=True)
  )
)
tr_params :: epochs = 100, patience = 20, batch_size = 256, window_size = 48, data_size = 100
Model MACs: 1.699M, Model Params: 37.377K
learning rate scheduling :: (optimizer, mode='min', factor=0.1, patience=5, verbose=True)
total_samples :: train_dataset = 2136000, train_dataloader = 2136000
total_samples :: valid_dataset = 283200, valid_dataloader = 283200
Epoch ::  1 || Loss: 0.42145689 || it_count: 8344 || Val Loss: 0.44798979 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:07:14.16
Epoch ::  2 || Loss: 0.41992984 || it_count: 8344 || Val Loss: 0.44702714 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:14:27.27
Epoch ::  3 || Loss: 0.41943492 || it_count: 8344 || Val Loss: 0.44536543 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:21:40.06
Epoch ::  4 || Loss: 0.41920543 || it_count: 8344 || Val Loss: 0.44358877 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:28:53.66
Epoch ::  5 || Loss: 0.41885796 || it_count: 8344 || Val Loss: 0.44354594 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:36:6.28
Epoch ::  6 || Loss: 0.41867313 || it_count: 8344 || Val Loss: 0.44324129 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:43:19.66
Epoch ::  7 || Loss: 0.41841611 || it_count: 8344 || Val Loss: 0.44221775 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:50:34.10
Epoch ::  8 || Loss: 0.41802069 || it_count: 8344 || Val Loss: 0.44179806 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:57:46.81
Epoch ::  9 || Loss: 0.41807930 || it_count: 8344 || Val Loss: 0.44191526 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 01:05:0.32
Epoch :: 10 || Loss: 0.41794137 || it_count: 8344 || Val Loss: 0.44197746 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 01:12:13.52
Epoch :: 11 || Loss: 0.41792552 || it_count: 8344 || Val Loss: 0.44168856 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 01:19:27.87
Epoch :: 12 || Loss: 0.41760215 || it_count: 8344 || Val Loss: 0.44239336 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 01:26:42.21
Epoch :: 13 || Loss: 0.41745400 || it_count: 8344 || Val Loss: 0.44123794 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 01:33:56.32
Epoch :: 14 || Loss: 0.41725189 || it_count: 8344 || Val Loss: 0.44202641 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 01:41:15.04
Epoch :: 15 || Loss: 0.41697381 || it_count: 8344 || Val Loss: 0.44297189 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 01:48:29.08
Epoch :: 16 || Loss: 0.41695385 || it_count: 8344 || Val Loss: 0.44217694 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 01:55:43.36
Epoch :: 17 || Loss: 0.41688265 || it_count: 8344 || Val Loss: 0.44182723 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 02:02:58.05
Epoch :: 18 || Loss: 0.41685350 || it_count: 8344 || Val Loss: 0.44298891 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 02:10:13.06
Epoch :: 19 || Loss: 0.41685197 || it_count: 8344 || Val Loss: 0.44213418 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 02:17:27.33
Epoch :: 20 || Loss: 0.41670328 || it_count: 8344 || Val Loss: 0.44183211 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 02:24:41.66
Epoch :: 21 || Loss: 0.41654799 || it_count: 8344 || Val Loss: 0.44223716 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 02:31:56.46
Epoch :: 22 || Loss: 0.41661638 || it_count: 8344 || Val Loss: 0.44127461 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 02:39:11.36
Epoch :: 23 || Loss: 0.41656153 || it_count: 8344 || Val Loss: 0.44165499 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 02:46:26.11
Epoch :: 24 || Loss: 0.41653384 || it_count: 8344 || Val Loss: 0.44125905 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 02:53:40.79
Epoch :: 25 || Loss: 0.41647679 || it_count: 8344 || Val Loss: 0.44120290 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 03:00:55.43
Epoch :: 26 || Loss: 0.41636832 || it_count: 8344 || Val Loss: 0.44066391 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 03:08:10.52
Epoch :: 27 || Loss: 0.41631474 || it_count: 8344 || Val Loss: 0.44175136 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 03:15:25.34
Epoch :: 28 || Loss: 0.41627322 || it_count: 8344 || Val Loss: 0.44104034 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 03:22:39.04
Epoch :: 29 || Loss: 0.41624144 || it_count: 8344 || Val Loss: 0.44091070 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 03:29:53.74
Epoch :: 30 || Loss: 0.41624116 || it_count: 8344 || Val Loss: 0.44072487 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 03:37:7.53
Epoch :: 31 || Loss: 0.41618795 || it_count: 8344 || Val Loss: 0.44176296 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 03:44:21.84
Epoch :: 32 || Loss: 0.41614400 || it_count: 8344 || Val Loss: 0.44064968 || Val it_count: 1107 || Current Learning Rate: 0.0001 || Time: 03:51:36.18
Epoch :: 33 || Loss: 0.42123175 || it_count: 8344 || Val Loss: 0.42588651 || Val it_count: 1107 || Current Learning Rate: 0.0001 || Time: 03:58:51.00
Epoch :: 34 || Loss: 0.41727904 || it_count: 8344 || Val Loss: 0.42429614 || Val it_count: 1107 || Current Learning Rate: 0.0001 || Time: 04:06:5.28
Epoch :: 35 || Loss: 0.41673448 || it_count: 8344 || Val Loss: 0.42390064 || Val it_count: 1107 || Current Learning Rate: 0.0001 || Time: 04:13:19.60
Epoch :: 36 || Loss: 0.41648440 || it_count: 8344 || Val Loss: 0.42350826 || Val it_count: 1107 || Current Learning Rate: 0.0001 || Time: 04:20:34.57
Epoch :: 37 || Loss: 0.41629028 || it_count: 8344 || Val Loss: 0.42337328 || Val it_count: 1107 || Current Learning Rate: 0.0001 || Time: 04:27:48.70
Epoch :: 38 || Loss: 0.41615875 || it_count: 8344 || Val Loss: 0.42312983 || Val it_count: 1107 || Current Learning Rate: 0.0001 || Time: 04:35:2.87
Epoch :: 39 || Loss: 0.41608008 || it_count: 8344 || Val Loss: 0.42329782 || Val it_count: 1107 || Current Learning Rate: 0.0001 || Time: 04:42:17.31
Epoch :: 40 || Loss: 0.41597240 || it_count: 8344 || Val Loss: 0.42315686 || Val it_count: 1107 || Current Learning Rate: 0.0001 || Time: 04:49:30.91
Epoch :: 41 || Loss: 0.41595954 || it_count: 8344 || Val Loss: 0.42322388 || Val it_count: 1107 || Current Learning Rate: 0.0001 || Time: 04:56:45.44
Epoch :: 42 || Loss: 0.41594349 || it_count: 8344 || Val Loss: 0.42305453 || Val it_count: 1107 || Current Learning Rate: 0.0001 || Time: 05:03:59.73
Epoch :: 43 || Loss: 0.41582012 || it_count: 8344 || Val Loss: 0.42286899 || Val it_count: 1107 || Current Learning Rate: 0.0001 || Time: 05:11:14.06
Epoch :: 44 || Loss: 0.41573237 || it_count: 8344 || Val Loss: 0.42278648 || Val it_count: 1107 || Current Learning Rate: 0.0001 || Time: 05:18:28.33
Epoch :: 45 || Loss: 0.41567923 || it_count: 8344 || Val Loss: 0.42251403 || Val it_count: 1107 || Current Learning Rate: 0.0001 || Time: 05:25:43.21
Epoch :: 46 || Loss: 0.41559973 || it_count: 8344 || Val Loss: 0.42231999 || Val it_count: 1107 || Current Learning Rate: 0.0001 || Time: 05:32:57.33
Epoch :: 47 || Loss: 0.41549787 || it_count: 8344 || Val Loss: 0.42193426 || Val it_count: 1107 || Current Learning Rate: 0.0001 || Time: 05:40:11.08
Epoch :: 48 || Loss: 0.41536032 || it_count: 8344 || Val Loss: 0.42148006 || Val it_count: 1107 || Current Learning Rate: 0.0001 || Time: 05:47:24.56
Epoch :: 49 || Loss: 0.41530980 || it_count: 8344 || Val Loss: 0.42201911 || Val it_count: 1107 || Current Learning Rate: 0.0001 || Time: 05:54:39.51
Epoch :: 50 || Loss: 0.41531303 || it_count: 8344 || Val Loss: 0.42201468 || Val it_count: 1107 || Current Learning Rate: 0.0001 || Time: 06:01:54.11
Epoch :: 51 || Loss: 0.41518790 || it_count: 8344 || Val Loss: 0.42184787 || Val it_count: 1107 || Current Learning Rate: 0.0001 || Time: 06:09:9.11
Epoch :: 52 || Loss: 0.41503212 || it_count: 8344 || Val Loss: 0.42150488 || Val it_count: 1107 || Current Learning Rate: 0.0001 || Time: 06:16:22.50
