--------------------Training--------------------
arch_str :: |lstm_3~0|+|lstm_2~0|none~1|[dropout->linear]
model :: 3B
InferCell(
  info :: nodes=3, inC=1, outC=64, [1<-(I0-L0) | 2<-(I0-L1,I1-L2)], genotype_str: lstm_3~0|lstm_2~0|none~1
  linear_layers: [dropout->linear]
  (layers): ModuleList(
    (0): LSTM(
      (lstm): LSTM(1, 64, num_layers=3, batch_first=True)
    )
    (1): LSTM(
      (lstm): LSTM(1, 64, num_layers=2, batch_first=True)
    )
    (2): Zero(C_in=64, C_out=64, stride=1)
  )
  (linear_layers): ModuleList(
    (0): Dropout(p=0.1, inplace=False)
    (1): Linear(in_features=3072, out_features=1, bias=True)
  )
)
tr_params :: epochs = 100, patience = 20, batch_size = 256, window_size = 48, data_size = 100
Model MACs: 6.565M, Model Params: 137.217K
learning rate scheduling :: (optimizer, mode='min', factor=0.1, patience=5, verbose=True)
total_samples :: train_dataset = 2136000, train_dataloader = 2136000
total_samples :: valid_dataset = 283200, valid_dataloader = 283200
Epoch ::  1 || Loss: 0.42200904 || it_count: 8344 || Val Loss: 0.44744927 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:08:15.19
Epoch ::  2 || Loss: 0.41920109 || it_count: 8344 || Val Loss: 0.44798536 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:16:27.80
Epoch ::  3 || Loss: 0.41914891 || it_count: 8344 || Val Loss: 0.44860493 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:24:37.94
Epoch ::  4 || Loss: 0.41868974 || it_count: 8344 || Val Loss: 0.44910173 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:32:49.70
Epoch ::  5 || Loss: 0.41835744 || it_count: 8344 || Val Loss: 0.44949118 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:41:0.66
Epoch ::  6 || Loss: 0.41807526 || it_count: 8344 || Val Loss: 0.44861004 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:49:11.57
Epoch ::  7 || Loss: 0.41765355 || it_count: 8344 || Val Loss: 0.44719411 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:57:23.29
Epoch ::  8 || Loss: 0.41732400 || it_count: 8344 || Val Loss: 0.44577217 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 01:05:36.46
Epoch ::  9 || Loss: 0.41736188 || it_count: 8344 || Val Loss: 0.44577191 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 01:13:49.57
Epoch :: 10 || Loss: 0.41749261 || it_count: 8344 || Val Loss: 0.44557395 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 01:22:3.31
Epoch :: 11 || Loss: 0.41715351 || it_count: 8344 || Val Loss: 0.44615823 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 01:30:17.29
Epoch :: 12 || Loss: 0.41706739 || it_count: 8344 || Val Loss: 0.44541666 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 01:38:31.38
Epoch :: 13 || Loss: 0.41695902 || it_count: 8344 || Val Loss: 0.44472207 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 01:46:47.54
Epoch :: 14 || Loss: 0.41657924 || it_count: 8344 || Val Loss: 0.44384509 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 01:55:2.39
Epoch :: 15 || Loss: 0.41637322 || it_count: 8344 || Val Loss: 0.44382664 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 02:03:18.44
Epoch :: 16 || Loss: 0.41616543 || it_count: 8344 || Val Loss: 0.44293546 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 02:11:33.90
Epoch :: 17 || Loss: 0.41599873 || it_count: 8344 || Val Loss: 0.44326095 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 02:19:49.71
Epoch :: 18 || Loss: 0.41582325 || it_count: 8344 || Val Loss: 0.44367740 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 02:28:7.04
Epoch :: 19 || Loss: 0.41553258 || it_count: 8344 || Val Loss: 0.44440626 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 02:36:22.78
Epoch :: 20 || Loss: 0.41527772 || it_count: 8344 || Val Loss: 0.44354702 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 02:44:39.36
Epoch :: 21 || Loss: 0.41513713 || it_count: 8344 || Val Loss: 0.44407278 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 02:52:55.87
Epoch :: 22 || Loss: 0.41418651 || it_count: 8344 || Val Loss: 0.44790672 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 03:01:11.71
Epoch 00007: reducing learning rate of group 0 to 1.0000e-04.
Epoch :: 23 || Loss: 0.41430915 || it_count: 8344 || Val Loss: 0.44630007 || Val it_count: 1107 || Current Learning Rate: 0.0001 || Time: 03:09:30.84
Epoch :: 24 || Loss: 0.41890125 || it_count: 8344 || Val Loss: 0.42612078 || Val it_count: 1107 || Current Learning Rate: 0.0001 || Time: 03:17:49.33
Epoch :: 25 || Loss: 0.41501605 || it_count: 8344 || Val Loss: 0.42396469 || Val it_count: 1107 || Current Learning Rate: 0.0001 || Time: 03:26:7.09
Epoch :: 26 || Loss: 0.41382395 || it_count: 8344 || Val Loss: 0.42323198 || Val it_count: 1107 || Current Learning Rate: 0.0001 || Time: 03:34:24.94
Epoch :: 27 || Loss: 0.41329035 || it_count: 8344 || Val Loss: 0.42304003 || Val it_count: 1107 || Current Learning Rate: 0.0001 || Time: 03:42:42.60
Epoch :: 28 || Loss: 0.41295245 || it_count: 8344 || Val Loss: 0.42285598 || Val it_count: 1107 || Current Learning Rate: 0.0001 || Time: 03:50:59.38
Epoch :: 29 || Loss: 0.41270051 || it_count: 8344 || Val Loss: 0.42271349 || Val it_count: 1107 || Current Learning Rate: 0.0001 || Time: 03:59:17.16
Epoch :: 30 || Loss: 0.41248396 || it_count: 8344 || Val Loss: 0.42261857 || Val it_count: 1107 || Current Learning Rate: 0.0001 || Time: 04:07:32.40
Epoch :: 31 || Loss: 0.41234033 || it_count: 8344 || Val Loss: 0.42242018 || Val it_count: 1107 || Current Learning Rate: 0.0001 || Time: 04:15:49.31
Epoch :: 32 || Loss: 0.41217925 || it_count: 8344 || Val Loss: 0.42216747 || Val it_count: 1107 || Current Learning Rate: 0.0001 || Time: 04:24:6.69
Epoch :: 33 || Loss: 0.41206387 || it_count: 8344 || Val Loss: 0.42213136 || Val it_count: 1107 || Current Learning Rate: 0.0001 || Time: 04:32:23.28
Epoch :: 34 || Loss: 0.41193285 || it_count: 8344 || Val Loss: 0.42206243 || Val it_count: 1107 || Current Learning Rate: 0.0001 || Time: 04:40:39.80
Epoch :: 35 || Loss: 0.41181132 || it_count: 8344 || Val Loss: 0.42192639 || Val it_count: 1107 || Current Learning Rate: 0.0001 || Time: 04:48:55.39
Epoch :: 36 || Loss: 0.41171671 || it_count: 8344 || Val Loss: 0.42180943 || Val it_count: 1107 || Current Learning Rate: 0.0001 || Time: 04:57:12.90
Epoch :: 37 || Loss: 0.41160121 || it_count: 8344 || Val Loss: 0.42164922 || Val it_count: 1107 || Current Learning Rate: 0.0001 || Time: 05:05:30.45
Epoch :: 38 || Loss: 0.41149314 || it_count: 8344 || Val Loss: 0.42172229 || Val it_count: 1107 || Current Learning Rate: 0.0001 || Time: 05:13:48.15
Epoch :: 39 || Loss: 0.41137314 || it_count: 8344 || Val Loss: 0.42162585 || Val it_count: 1107 || Current Learning Rate: 0.0001 || Time: 05:22:4.61
Epoch :: 40 || Loss: 0.41127214 || it_count: 8344 || Val Loss: 0.42173818 || Val it_count: 1107 || Current Learning Rate: 0.0001 || Time: 05:30:20.57
Epoch :: 41 || Loss: 0.41122294 || it_count: 8344 || Val Loss: 0.42166245 || Val it_count: 1107 || Current Learning Rate: 0.0001 || Time: 05:38:36.79
Epoch :: 42 || Loss: 0.41116837 || it_count: 8344 || Val Loss: 0.42191876 || Val it_count: 1107 || Current Learning Rate: 0.0001 || Time: 05:46:53.36
Epoch 00027: reducing learning rate of group 0 to 1.0000e-05.
