--------------------Training--------------------
arch_str :: |lstm_3~0|+|lstm_3~0|skip_connect~1|[dropout->linear]
model :: 3B
InferCell(
  info :: nodes=3, inC=1, outC=64, [1<-(I0-L0) | 2<-(I0-L1,I1-L2)], genotype_str: lstm_3~0|lstm_3~0|skip_connect~1
  linear_layers: [dropout->linear]
  (layers): ModuleList(
    (0-1): 2 x LSTM(
      (lstm): LSTM(1, 64, num_layers=3, batch_first=True)
    )
    (2): Identity()
  )
  (linear_layers): ModuleList(
    (0): Dropout(p=0.1, inplace=False)
    (1): Linear(in_features=3072, out_features=1, bias=True)
  )
)
tr_params :: epochs = 100, patience = 20, batch_size = 256, window_size = 48, data_size = 100
Model MACs: 8.187M, Model Params: 170.497K
learning rate scheduling :: (optimizer, mode='min', factor=0.1, patience=5, verbose=True)
total_samples :: train_dataset = 2136000, train_dataloader = 2136000
total_samples :: valid_dataset = 283200, valid_dataloader = 283200
Epoch ::  1 || Loss: 0.42332057 || it_count: 8344 || Val Loss: 0.45066693 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:04:52.05
Epoch ::  2 || Loss: 0.41944731 || it_count: 8344 || Val Loss: 0.45002932 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:09:40.34
Epoch ::  3 || Loss: 0.41948551 || it_count: 8344 || Val Loss: 0.44965577 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:14:28.91
Epoch ::  4 || Loss: 0.41922453 || it_count: 8344 || Val Loss: 0.44902633 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:19:17.66
Epoch ::  5 || Loss: 0.41879512 || it_count: 8344 || Val Loss: 0.44831663 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:24:8.34
Epoch ::  6 || Loss: 0.41836051 || it_count: 8344 || Val Loss: 0.44911886 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:28:58.45
Epoch ::  7 || Loss: 0.41816579 || it_count: 8344 || Val Loss: 0.44947922 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:33:51.35
Epoch ::  8 || Loss: 0.41773337 || it_count: 8344 || Val Loss: 0.44965632 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:38:46.38
Epoch ::  9 || Loss: 0.41756063 || it_count: 8344 || Val Loss: 0.44909564 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:43:46.98
Epoch :: 10 || Loss: 0.41725790 || it_count: 8344 || Val Loss: 0.44873714 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:48:46.77
Epoch :: 11 || Loss: 0.41688496 || it_count: 8344 || Val Loss: 0.44852539 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:53:45.78
Epoch :: 12 || Loss: 0.41644132 || it_count: 8344 || Val Loss: 0.44833937 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:58:45.47
Epoch :: 13 || Loss: 0.41599581 || it_count: 8344 || Val Loss: 0.44832561 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 01:03:45.21
Epoch :: 14 || Loss: 0.41559439 || it_count: 8344 || Val Loss: 0.44656752 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 01:08:43.66
Epoch :: 15 || Loss: 0.41502519 || it_count: 8344 || Val Loss: 0.44474753 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 01:13:43.07
Epoch :: 16 || Loss: 0.41466295 || it_count: 8344 || Val Loss: 0.44620100 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 01:18:42.38
Epoch :: 17 || Loss: 0.41436045 || it_count: 8344 || Val Loss: 0.44581787 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 01:23:42.08
