--------------------Training--------------------
arch_str :: |lstm_1~0|+|lstm_2~0|lstm_3~1|[dropout->linear]
model :: 3B
InferCell(
  info :: nodes=3, inC=1, outC=64, [1<-(I0-L0) | 2<-(I0-L1,I1-L2)], genotype_str: lstm_1~0|lstm_2~0|lstm_3~1
  linear_layers: [dropout->linear]
  (layers): ModuleList(
    (0): LSTM(
      (lstm): LSTM(1, 64, batch_first=True)
    )
    (1): LSTM(
      (lstm): LSTM(1, 64, num_layers=2, batch_first=True)
    )
    (2): LSTM(
      (lstm): LSTM(64, 64, num_layers=3, batch_first=True)
    )
  )
  (linear_layers): ModuleList(
    (0): Dropout(p=0.1, inplace=False)
    (1): Linear(in_features=3072, out_features=1, bias=True)
  )
)
tr_params :: epochs = 100, patience = 20, batch_size = 256, window_size = 48, data_size = 100
Model MACs: 8.187M, Model Params: 170.497K
learning rate scheduling :: (optimizer, mode='min', factor=0.1, patience=5, verbose=True)
total_samples :: train_dataset = 2136000, train_dataloader = 2136000
total_samples :: valid_dataset = 283200, valid_dataloader = 283200
Epoch ::  1 || Loss: 0.42265303 || it_count: 8344 || Val Loss: 0.44882581 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:09:24.76
Epoch ::  2 || Loss: 0.41956059 || it_count: 8344 || Val Loss: 0.44667525 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:18:47.02
Epoch ::  3 || Loss: 0.41896041 || it_count: 8344 || Val Loss: 0.44773354 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:28:12.42
Epoch ::  4 || Loss: 0.41871468 || it_count: 8344 || Val Loss: 0.44768257 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:37:37.14
Epoch ::  5 || Loss: 0.41819895 || it_count: 8344 || Val Loss: 0.44791952 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:47:2.26
Epoch ::  6 || Loss: 0.41832725 || it_count: 8344 || Val Loss: 0.44797260 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:56:28.43
Epoch ::  7 || Loss: 0.41799587 || it_count: 8344 || Val Loss: 0.44809513 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 01:05:55.17
Epoch ::  8 || Loss: 0.41779406 || it_count: 8344 || Val Loss: 0.44799684 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 01:15:20.95
Epoch ::  9 || Loss: 0.41747514 || it_count: 8344 || Val Loss: 0.44784777 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 01:24:46.60
Epoch :: 10 || Loss: 0.41718494 || it_count: 8344 || Val Loss: 0.44719131 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 01:34:11.73
Epoch :: 11 || Loss: 0.41698379 || it_count: 8344 || Val Loss: 0.44665247 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 01:43:37.94
Epoch :: 12 || Loss: 0.41662902 || it_count: 8344 || Val Loss: 0.44623496 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 01:53:3.55
Epoch :: 13 || Loss: 0.41649013 || it_count: 8344 || Val Loss: 0.44578443 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 02:02:30.82
Epoch :: 14 || Loss: 0.41622383 || it_count: 8344 || Val Loss: 0.44571897 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 02:11:56.73
Epoch :: 15 || Loss: 0.41572706 || it_count: 8344 || Val Loss: 0.44584729 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 02:21:22.49
Epoch :: 16 || Loss: 0.41575430 || it_count: 8344 || Val Loss: 0.44561385 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 02:30:49.10
