--------------------Training--------------------
arch_str :: |lstm_1~0|+|lstm_3~0|lstm_1~1|[relu->linear]
model :: 3C
InferCell(
  info :: nodes=3, inC=1, outC=64, [1<-(I0-L0) | 2<-(I0-L1,I1-L2)], genotype_str: lstm_1~0|lstm_3~0|lstm_1~1
  linear_layers: [relu->linear]
  (layers): ModuleList(
    (0): LSTM(
      (lstm): LSTM(1, 64, batch_first=True)
    )
    (1): LSTM(
      (lstm): LSTM(1, 64, num_layers=3, batch_first=True)
    )
    (2): LSTM(
      (lstm): LSTM(64, 64, batch_first=True)
    )
  )
  (linear_layers): ModuleList(
    (0): ReLU()
    (1): Linear(in_features=3072, out_features=1, bias=True)
  )
)
tr_params :: epochs = 100, patience = 20, batch_size = 256, window_size = 48, data_size = 100
Model MACs: 6.565M, Model Params: 137.217K
learning rate scheduling :: (optimizer, mode='min', factor=0.1, patience=5, verbose=True)
total_samples :: train_dataset = 2136000, train_dataloader = 2136000
total_samples :: valid_dataset = 283200, valid_dataloader = 283200
Epoch ::  1 || Loss: 0.42179742 || it_count: 8344 || Val Loss: 0.44797304 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:04:54.95
Epoch ::  2 || Loss: 0.41770013 || it_count: 8344 || Val Loss: 0.44663306 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:09:49.14
Epoch ::  3 || Loss: 0.41835946 || it_count: 8344 || Val Loss: 0.44568644 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:14:43.50
Epoch ::  4 || Loss: 0.41796184 || it_count: 8344 || Val Loss: 0.44779697 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:19:34.83
Epoch ::  5 || Loss: 0.41637061 || it_count: 8344 || Val Loss: 0.44840212 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:24:32.14
Epoch ::  6 || Loss: 0.41741848 || it_count: 8344 || Val Loss: 0.44897001 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:29:28.68
Epoch ::  7 || Loss: 0.41688365 || it_count: 8344 || Val Loss: 0.44927507 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:34:23.42
Epoch ::  8 || Loss: 0.41663248 || it_count: 8344 || Val Loss: 0.44946077 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:39:14.27
Epoch ::  9 || Loss: 0.41575388 || it_count: 8344 || Val Loss: 0.45051102 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:44:8.09
Epoch :: 10 || Loss: 0.41550819 || it_count: 8344 || Val Loss: 0.44913212 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:49:1.90
Epoch :: 11 || Loss: 0.41557312 || it_count: 8344 || Val Loss: 0.44822974 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:53:56.49
Epoch :: 12 || Loss: 0.41497567 || it_count: 8344 || Val Loss: 0.44820208 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:58:54.12
Epoch :: 13 || Loss: 0.41452200 || it_count: 8344 || Val Loss: 0.44649556 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 01:03:52.10
Epoch :: 14 || Loss: 0.41397183 || it_count: 8344 || Val Loss: 0.44590730 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 01:08:49.13
Epoch :: 15 || Loss: 0.41291176 || it_count: 8344 || Val Loss: 0.44441358 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 01:13:42.07
Epoch :: 16 || Loss: 0.41183944 || it_count: 8344 || Val Loss: 0.44328162 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 01:18:33.61
Epoch :: 17 || Loss: 0.41144596 || it_count: 8344 || Val Loss: 0.44440285 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 01:23:20.51
Epoch :: 18 || Loss: 0.41139751 || it_count: 8344 || Val Loss: 0.44470424 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 01:28:8.29
Epoch :: 19 || Loss: 0.41088258 || it_count: 8344 || Val Loss: 0.44323048 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 01:33:1.68
Epoch :: 20 || Loss: 0.41126430 || it_count: 8344 || Val Loss: 0.44319248 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 01:37:56.31
Epoch :: 21 || Loss: 0.41059629 || it_count: 8344 || Val Loss: 0.44433748 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 01:42:50.96
Epoch :: 22 || Loss: 0.41018082 || it_count: 8344 || Val Loss: 0.44491363 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 01:47:36.90
Epoch :: 23 || Loss: 0.41051543 || it_count: 8344 || Val Loss: 0.44362210 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 01:52:30.61
Epoch :: 24 || Loss: 0.41030498 || it_count: 8344 || Val Loss: 0.44270476 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 01:57:23.93
Epoch :: 25 || Loss: 0.41053514 || it_count: 8344 || Val Loss: 0.44445395 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 02:02:18.80
Epoch :: 26 || Loss: 0.41064378 || it_count: 8344 || Val Loss: 0.44297479 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 02:07:12.47
Epoch :: 27 || Loss: 0.41045902 || it_count: 8344 || Val Loss: 0.44466468 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 02:12:6.66
Epoch :: 28 || Loss: 0.41001143 || it_count: 8344 || Val Loss: 0.44397308 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 02:17:5.32
Epoch :: 29 || Loss: 0.40967477 || it_count: 8344 || Val Loss: 0.44550359 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 02:22:2.84
Epoch 00014: reducing learning rate of group 0 to 1.0000e-04.
Epoch :: 30 || Loss: 0.40949462 || it_count: 8344 || Val Loss: 0.44378724 || Val it_count: 1107 || Current Learning Rate: 0.0001 || Time: 02:26:59.11
Epoch :: 31 || Loss: 0.41468624 || it_count: 8344 || Val Loss: 0.42028938 || Val it_count: 1107 || Current Learning Rate: 0.0001 || Time: 02:31:53.32
Epoch :: 32 || Loss: 0.41075206 || it_count: 8344 || Val Loss: 0.41823002 || Val it_count: 1107 || Current Learning Rate: 0.0001 || Time: 02:36:47.79
Epoch :: 33 || Loss: 0.40984745 || it_count: 8344 || Val Loss: 0.41782337 || Val it_count: 1107 || Current Learning Rate: 0.0001 || Time: 02:41:44.69
Epoch :: 34 || Loss: 0.40931833 || it_count: 8344 || Val Loss: 0.41762425 || Val it_count: 1107 || Current Learning Rate: 0.0001 || Time: 02:46:42.16
Epoch :: 35 || Loss: 0.40896386 || it_count: 8344 || Val Loss: 0.41743360 || Val it_count: 1107 || Current Learning Rate: 0.0001 || Time: 02:51:28.14
Epoch :: 36 || Loss: 0.40865207 || it_count: 8344 || Val Loss: 0.41729354 || Val it_count: 1107 || Current Learning Rate: 0.0001 || Time: 02:56:20.97
Epoch :: 37 || Loss: 0.40839064 || it_count: 8344 || Val Loss: 0.41720210 || Val it_count: 1107 || Current Learning Rate: 0.0001 || Time: 03:01:16.16
Epoch :: 38 || Loss: 0.40813451 || it_count: 8344 || Val Loss: 0.41707380 || Val it_count: 1107 || Current Learning Rate: 0.0001 || Time: 03:06:10.98
Epoch :: 39 || Loss: 0.40790839 || it_count: 8344 || Val Loss: 0.41708185 || Val it_count: 1107 || Current Learning Rate: 0.0001 || Time: 03:11:5.25
Epoch :: 40 || Loss: 0.40768069 || it_count: 8344 || Val Loss: 0.41696689 || Val it_count: 1107 || Current Learning Rate: 0.0001 || Time: 03:15:57.50
Epoch :: 41 || Loss: 0.40747622 || it_count: 8344 || Val Loss: 0.41694879 || Val it_count: 1107 || Current Learning Rate: 0.0001 || Time: 03:20:50.60
Epoch :: 42 || Loss: 0.40729694 || it_count: 8344 || Val Loss: 0.41682534 || Val it_count: 1107 || Current Learning Rate: 0.0001 || Time: 03:25:50.12
Epoch :: 43 || Loss: 0.40711403 || it_count: 8344 || Val Loss: 0.41683873 || Val it_count: 1107 || Current Learning Rate: 0.0001 || Time: 03:31:2.60
Epoch :: 44 || Loss: 0.40692496 || it_count: 8344 || Val Loss: 0.41680088 || Val it_count: 1107 || Current Learning Rate: 0.0001 || Time: 03:36:16.06
Epoch :: 45 || Loss: 0.40674727 || it_count: 8344 || Val Loss: 0.41664447 || Val it_count: 1107 || Current Learning Rate: 0.0001 || Time: 03:41:29.88
Epoch :: 46 || Loss: 0.40654307 || it_count: 8344 || Val Loss: 0.41665893 || Val it_count: 1107 || Current Learning Rate: 0.0001 || Time: 03:46:43.63
Epoch :: 47 || Loss: 0.40647020 || it_count: 8344 || Val Loss: 0.41642069 || Val it_count: 1107 || Current Learning Rate: 0.0001 || Time: 03:51:56.72
Epoch :: 48 || Loss: 0.40634280 || it_count: 8344 || Val Loss: 0.41678947 || Val it_count: 1107 || Current Learning Rate: 0.0001 || Time: 03:57:10.13
Epoch :: 49 || Loss: 0.40618436 || it_count: 8344 || Val Loss: 0.41665860 || Val it_count: 1107 || Current Learning Rate: 0.0001 || Time: 04:02:23.92
Epoch :: 50 || Loss: 0.40604894 || it_count: 8344 || Val Loss: 0.41657409 || Val it_count: 1107 || Current Learning Rate: 0.0001 || Time: 04:07:36.64
Epoch :: 51 || Loss: 0.40593345 || it_count: 8344 || Val Loss: 0.41675430 || Val it_count: 1107 || Current Learning Rate: 0.0001 || Time: 04:12:50.63
Epoch :: 52 || Loss: 0.40582450 || it_count: 8344 || Val Loss: 0.41678078 || Val it_count: 1107 || Current Learning Rate: 0.0001 || Time: 04:18:4.44
Epoch 00037: reducing learning rate of group 0 to 1.0000e-05.
Epoch :: 53 || Loss: 0.40569581 || it_count: 8344 || Val Loss: 0.41678786 || Val it_count: 1107 || Current Learning Rate: 1e-05 || Time: 04:23:17.09
