--------------------Training--------------------
arch_str :: |lstm_2~0|+|none~0|lstm_1~1|[relu->linear]
model :: 3C
InferCell(
  info :: nodes=3, inC=1, outC=64, [1<-(I0-L0) | 2<-(I0-L1,I1-L2)], genotype_str: lstm_2~0|none~0|lstm_1~1
  linear_layers: [relu->linear]
  (layers): ModuleList(
    (0): LSTM(
      (lstm): LSTM(1, 64, num_layers=2, batch_first=True)
    )
    (1): Zero(C_in=1, C_out=64, stride=1)
    (2): LSTM(
      (lstm): LSTM(64, 64, batch_first=True)
    )
  )
  (linear_layers): ModuleList(
    (0): ReLU()
    (1): Linear(in_features=3072, out_features=1, bias=True)
  )
)
tr_params :: epochs = 100, patience = 20, batch_size = 256, window_size = 48, data_size = 100
Model MACs: 4.095M, Model Params: 86.785K
learning rate scheduling :: (optimizer, mode='min', factor=0.1, patience=5, verbose=True)
total_samples :: train_dataset = 2136000, train_dataloader = 2136000
total_samples :: valid_dataset = 283200, valid_dataloader = 283200
Epoch ::  1 || Loss: 0.42418673 || it_count: 8344 || Val Loss: 0.45013070 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:03:52.11
Epoch ::  2 || Loss: 0.41777073 || it_count: 8344 || Val Loss: 0.44924523 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:07:39.08
Epoch ::  3 || Loss: 0.41724186 || it_count: 8344 || Val Loss: 0.44845336 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:11:29.00
Epoch ::  4 || Loss: 0.41748416 || it_count: 8344 || Val Loss: 0.44906439 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:15:17.76
Epoch ::  5 || Loss: 0.41704548 || it_count: 8344 || Val Loss: 0.44969991 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:19:6.75
Epoch ::  6 || Loss: 0.41664959 || it_count: 8344 || Val Loss: 0.44989373 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:22:58.55
Epoch ::  7 || Loss: 0.41633557 || it_count: 8344 || Val Loss: 0.45258043 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:26:50.04
Epoch ::  8 || Loss: 0.41608547 || it_count: 8344 || Val Loss: 0.45428155 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:30:40.59
Epoch ::  9 || Loss: 0.41596918 || it_count: 8344 || Val Loss: 0.45506861 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:34:30.55
Epoch :: 10 || Loss: 0.41595714 || it_count: 8344 || Val Loss: 0.45401759 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:38:19.11
Epoch :: 11 || Loss: 0.41532888 || it_count: 8344 || Val Loss: 0.45454135 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:42:9.26
Epoch :: 12 || Loss: 0.41526131 || it_count: 8344 || Val Loss: 0.45453465 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:45:58.95
Epoch :: 13 || Loss: 0.41490551 || it_count: 8344 || Val Loss: 0.45390262 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:49:49.00
Epoch :: 14 || Loss: 0.41447373 || it_count: 8344 || Val Loss: 0.45335427 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:53:39.06
Epoch :: 15 || Loss: 0.41393406 || it_count: 8344 || Val Loss: 0.45223563 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:57:27.09
Epoch :: 16 || Loss: 0.41316152 || it_count: 8344 || Val Loss: 0.45050969 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 01:01:18.19
Epoch :: 17 || Loss: 0.41206644 || it_count: 8344 || Val Loss: 0.44754497 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 01:05:9.12
Epoch :: 18 || Loss: 0.41129252 || it_count: 8344 || Val Loss: 0.44984657 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 01:09:0.19
Epoch :: 19 || Loss: 0.41084414 || it_count: 8344 || Val Loss: 0.44940739 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 01:12:48.70
Epoch :: 20 || Loss: 0.41092905 || it_count: 8344 || Val Loss: 0.44807427 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 01:16:38.07
Epoch :: 21 || Loss: 0.41048552 || it_count: 8344 || Val Loss: 0.45002766 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 01:20:28.69
Epoch :: 22 || Loss: 0.41068790 || it_count: 8344 || Val Loss: 0.44638999 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 01:24:20.44
Epoch :: 23 || Loss: 0.41028800 || it_count: 8344 || Val Loss: 0.45013090 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 01:28:14.47
Epoch :: 24 || Loss: 0.40988853 || it_count: 8344 || Val Loss: 0.44648638 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 01:32:6.32
Epoch :: 25 || Loss: 0.41011301 || it_count: 8344 || Val Loss: 0.44769952 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 01:35:58.73
Epoch :: 26 || Loss: 0.40985558 || it_count: 8344 || Val Loss: 0.44667395 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 01:39:47.89
Epoch :: 27 || Loss: 0.40974975 || it_count: 8344 || Val Loss: 0.44755496 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 01:43:38.62
Epoch :: 28 || Loss: 0.40938132 || it_count: 8344 || Val Loss: 0.44747646 || Val it_count: 1107 || Current Learning Rate: 0.0001 || Time: 01:47:30.47
Epoch :: 29 || Loss: 0.41395034 || it_count: 8344 || Val Loss: 0.42043787 || Val it_count: 1107 || Current Learning Rate: 0.0001 || Time: 01:51:21.30
