--------------------Training--------------------
arch_str :: |lstm_2~0|+|lstm_2~0|none~1|[relu->dropout->linear]
model :: 3D
InferCell(
  info :: nodes=3, inC=1, outC=64, [1<-(I0-L0) | 2<-(I0-L1,I1-L2)], genotype_str: lstm_2~0|lstm_2~0|none~1
  linear_layers: [relu->dropout->linear]
  (layers): ModuleList(
    (0): LSTM(
      (lstm): LSTM(1, 64, num_layers=2, batch_first=True)
    )
    (1): LSTM(
      (lstm): LSTM(1, 64, num_layers=2, batch_first=True)
    )
    (2): Zero(C_in=64, C_out=64, stride=1)
  )
  (linear_layers): ModuleList(
    (0): ReLU()
    (1): Dropout(p=0.1, inplace=False)
    (2): Linear(in_features=3072, out_features=1, bias=True)
  )
)
tr_params :: epochs = 100, patience = 20, batch_size = 256, window_size = 48, data_size = 100
Model MACs: 4.943M, Model Params: 103.937K
learning rate scheduling :: (optimizer, mode='min', factor=0.1, patience=5, verbose=True)
total_samples :: train_dataset = 2136000, train_dataloader = 2136000
total_samples :: valid_dataset = 283200, valid_dataloader = 283200
Epoch ::  1 || Loss: 0.42296174 || it_count: 8344 || Val Loss: 0.44749414 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:09:1.94
Epoch ::  2 || Loss: 0.41938097 || it_count: 8344 || Val Loss: 0.44613617 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:18:4.52
Epoch ::  3 || Loss: 0.41882553 || it_count: 8344 || Val Loss: 0.44635154 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:27:6.21
Epoch ::  4 || Loss: 0.41904339 || it_count: 8344 || Val Loss: 0.44645431 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:36:8.63
Epoch ::  5 || Loss: 0.41863757 || it_count: 8344 || Val Loss: 0.44633962 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:45:11.33
Epoch ::  6 || Loss: 0.41806657 || it_count: 8344 || Val Loss: 0.44596977 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:54:14.19
Epoch ::  7 || Loss: 0.41807084 || it_count: 8344 || Val Loss: 0.44668429 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 01:03:16.64
Epoch ::  8 || Loss: 0.41789888 || it_count: 8344 || Val Loss: 0.44704622 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 01:12:19.75
Epoch ::  9 || Loss: 0.41751406 || it_count: 8344 || Val Loss: 0.44720815 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 01:21:22.52
Epoch :: 10 || Loss: 0.41716343 || it_count: 8344 || Val Loss: 0.44757631 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 01:30:25.49
Epoch :: 11 || Loss: 0.41712855 || it_count: 8344 || Val Loss: 0.44681402 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 01:39:28.51
Epoch :: 12 || Loss: 0.41681982 || it_count: 8344 || Val Loss: 0.44744737 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 01:48:31.44
Epoch :: 13 || Loss: 0.41661920 || it_count: 8344 || Val Loss: 0.44751583 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 01:57:34.61
Epoch :: 14 || Loss: 0.41641057 || it_count: 8344 || Val Loss: 0.44848017 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 02:06:37.92
Epoch :: 15 || Loss: 0.41639328 || it_count: 8344 || Val Loss: 0.44879596 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 02:15:40.36
Epoch :: 16 || Loss: 0.41617001 || it_count: 8344 || Val Loss: 0.44769944 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 02:24:43.13
Epoch :: 17 || Loss: 0.41591885 || it_count: 8344 || Val Loss: 0.44771245 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 02:33:46.26
Epoch :: 18 || Loss: 0.41597336 || it_count: 8344 || Val Loss: 0.44762935 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 02:42:50.15
Epoch :: 19 || Loss: 0.41553252 || it_count: 8344 || Val Loss: 0.44823597 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 02:51:52.50
Epoch :: 20 || Loss: 0.41538074 || it_count: 8344 || Val Loss: 0.44848855 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 03:00:55.66
Epoch :: 21 || Loss: 0.41530263 || it_count: 8344 || Val Loss: 0.44766157 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 03:09:58.81
Epoch :: 22 || Loss: 0.41507704 || it_count: 8344 || Val Loss: 0.44547323 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 03:19:2.46
