--------------------Training--------------------
arch_str :: |lstm_1~0|+|lstm_3~0|skip_connect~1|[linear->linear]
model :: 3E
InferCell(
  info :: nodes=3, inC=1, outC=64, [1<-(I0-L0) | 2<-(I0-L1,I1-L2)], genotype_str: lstm_1~0|lstm_3~0|skip_connect~1
  linear_layers: [linear->linear]
  (layers): ModuleList(
    (0): LSTM(
      (lstm): LSTM(1, 64, batch_first=True)
    )
    (1): LSTM(
      (lstm): LSTM(1, 64, num_layers=3, batch_first=True)
    )
    (2): Identity()
  )
  (linear_layers): ModuleList(
    (0): Linear(in_features=3072, out_features=1536, bias=True)
    (1): Linear(in_features=1536, out_features=1, bias=True)
  )
)
tr_params :: epochs = 100, patience = 20, batch_size = 256, window_size = 48, data_size = 100
Model MACs: 9.660M, Model Params: 4.823M
learning rate scheduling :: (optimizer, mode='min', factor=0.1, patience=5, verbose=True)
total_samples :: train_dataset = 2136000, train_dataloader = 2136000
total_samples :: valid_dataset = 283200, valid_dataloader = 283200
Epoch ::  1 || Loss: 0.42168440 || it_count: 8344 || Val Loss: 0.45788054 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:04:22.64
Epoch ::  2 || Loss: 0.41724002 || it_count: 8344 || Val Loss: 0.44987719 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:08:37.33
Epoch ::  3 || Loss: 0.41668084 || it_count: 8344 || Val Loss: 0.45139816 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:12:52.90
Epoch ::  4 || Loss: 0.41669644 || it_count: 8344 || Val Loss: 0.44939428 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:17:9.09
Epoch ::  5 || Loss: 0.41660244 || it_count: 8344 || Val Loss: 0.44812659 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:21:23.72
Epoch ::  6 || Loss: 0.41659817 || it_count: 8344 || Val Loss: 0.44781262 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:25:40.67
Epoch ::  7 || Loss: 0.41649356 || it_count: 8344 || Val Loss: 0.44775203 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:29:58.14
Epoch ::  8 || Loss: 0.41634471 || it_count: 8344 || Val Loss: 0.44711253 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:34:15.66
Epoch ::  9 || Loss: 0.41623773 || it_count: 8344 || Val Loss: 0.44727257 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:38:33.26
Epoch :: 10 || Loss: 0.41615194 || it_count: 8344 || Val Loss: 0.44745668 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:42:48.61
Epoch :: 11 || Loss: 0.41605776 || it_count: 8344 || Val Loss: 0.44755000 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:47:5.79
Epoch :: 12 || Loss: 0.41602128 || it_count: 8344 || Val Loss: 0.44739106 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:51:22.32
Epoch :: 13 || Loss: 0.41595908 || it_count: 8344 || Val Loss: 0.44736554 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:55:40.62
Epoch :: 14 || Loss: 0.41588481 || it_count: 8344 || Val Loss: 0.44751623 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:59:54.94
Epoch :: 15 || Loss: 0.41590365 || it_count: 8344 || Val Loss: 0.44750812 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 01:04:12.09
Epoch :: 16 || Loss: 0.41595770 || it_count: 8344 || Val Loss: 0.44746343 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 01:08:28.13
Epoch :: 17 || Loss: 0.41591918 || it_count: 8344 || Val Loss: 0.44782180 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 01:12:42.83
Epoch :: 18 || Loss: 0.41584303 || it_count: 8344 || Val Loss: 0.44729595 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 01:16:59.13
Epoch :: 19 || Loss: 0.41572740 || it_count: 8344 || Val Loss: 0.44726816 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 01:21:14.65
Epoch :: 20 || Loss: 0.41566623 || it_count: 8344 || Val Loss: 0.44747550 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 01:25:30.08
Epoch :: 21 || Loss: 0.41559634 || it_count: 8344 || Val Loss: 0.44721271 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 01:29:46.26
Epoch :: 22 || Loss: 0.41546974 || it_count: 8344 || Val Loss: 0.44702086 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 01:34:2.58
Epoch :: 23 || Loss: 0.41547018 || it_count: 8344 || Val Loss: 0.44685544 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 01:38:20.03
Epoch :: 24 || Loss: 0.41544943 || it_count: 8344 || Val Loss: 0.44692827 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 01:42:36.56
Epoch :: 25 || Loss: 0.41530893 || it_count: 8344 || Val Loss: 0.44639378 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 01:46:53.14
Epoch :: 26 || Loss: 0.41532302 || it_count: 8344 || Val Loss: 0.44644537 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 01:51:8.33
Epoch :: 27 || Loss: 0.41530310 || it_count: 8344 || Val Loss: 0.44651507 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 01:55:25.35
Epoch :: 28 || Loss: 0.41535045 || it_count: 8344 || Val Loss: 0.44662966 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 01:59:42.59
Epoch :: 29 || Loss: 0.41529171 || it_count: 8344 || Val Loss: 0.44670576 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 02:03:59.72
Epoch :: 30 || Loss: 0.41523909 || it_count: 8344 || Val Loss: 0.44681603 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 02:08:16.99
Epoch :: 31 || Loss: 0.41523428 || it_count: 8344 || Val Loss: 0.44690225 || Val it_count: 1107 || Current Learning Rate: 0.0001 || Time: 02:12:33.78
