--------------------Training--------------------
arch_str :: |lstm_3~0|+|lstm_3~0|lstm_2~1|[relu->dropout->linear->dropout->linear]
model :: 3R
InferCell(
  info :: nodes=3, inC=1, outC=64, [1<-(I0-L0) | 2<-(I0-L1,I1-L2)], genotype_str: lstm_3~0|lstm_3~0|lstm_2~1
  linear_layers: [relu->dropout->linear->dropout->linear]
  (layers): ModuleList(
    (0-1): 2 x LSTM(
      (lstm): LSTM(1, 64, num_layers=3, batch_first=True)
    )
    (2): LSTM(
      (lstm): LSTM(64, 64, num_layers=2, batch_first=True)
    )
  )
  (linear_layers): ModuleList(
    (0): ReLU()
    (1): Dropout(p=0.1, inplace=False)
    (2): Linear(in_features=3072, out_features=1536, bias=True)
    (3): Dropout(p=0.1, inplace=False)
    (4): Linear(in_features=1536, out_features=1, bias=True)
  )
)
tr_params :: epochs = 100, patience = 20, batch_size = 256, window_size = 48, data_size = 100
Model MACs: 16.148M, Model Params: 4.956M
learning rate scheduling :: (optimizer, mode='min', factor=0.1, patience=5, verbose=True)
total_samples :: train_dataset = 2136000, train_dataloader = 2136000
total_samples :: valid_dataset = 283200, valid_dataloader = 283200
Epoch ::  1 || Loss: 0.42944060 || it_count: 8344 || Val Loss: 0.45592761 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:05:48.38
Epoch ::  2 || Loss: 0.42197904 || it_count: 8344 || Val Loss: 0.45096091 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:11:33.41
Epoch ::  3 || Loss: 0.42095330 || it_count: 8344 || Val Loss: 0.45130204 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:17:21.35
Epoch ::  4 || Loss: 0.42002561 || it_count: 8344 || Val Loss: 0.44832873 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:23:10.44
Epoch ::  5 || Loss: 0.41982588 || it_count: 8344 || Val Loss: 0.44934682 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:29:0.37
Epoch ::  6 || Loss: 0.42108888 || it_count: 8344 || Val Loss: 0.45011823 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:34:50.31
Epoch ::  7 || Loss: 0.41997112 || it_count: 8344 || Val Loss: 0.44834655 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:40:40.79
Epoch ::  8 || Loss: 0.41923187 || it_count: 8344 || Val Loss: 0.45007754 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:46:31.72
Epoch ::  9 || Loss: 0.41875955 || it_count: 8344 || Val Loss: 0.45121722 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:52:23.01
Epoch :: 10 || Loss: 0.41762940 || it_count: 8344 || Val Loss: 0.45080352 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:58:14.00
Epoch :: 11 || Loss: 0.41792545 || it_count: 8344 || Val Loss: 0.44965397 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 01:04:5.41
Epoch :: 12 || Loss: 0.41716981 || it_count: 8344 || Val Loss: 0.45121919 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 01:09:54.80
Epoch :: 13 || Loss: 0.41691884 || it_count: 8344 || Val Loss: 0.45206060 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 01:15:44.51
Epoch :: 14 || Loss: 0.41697289 || it_count: 8344 || Val Loss: 0.45219295 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 01:21:35.88
Epoch :: 15 || Loss: 0.41638219 || it_count: 8344 || Val Loss: 0.45337375 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 01:27:26.29
Epoch :: 16 || Loss: 0.42284947 || it_count: 8344 || Val Loss: 0.44717062 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 01:33:15.62
Epoch :: 17 || Loss: 0.41815445 || it_count: 8344 || Val Loss: 0.44800724 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 01:39:6.99
Epoch :: 18 || Loss: 0.41650477 || it_count: 8344 || Val Loss: 0.44991657 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 01:44:57.92
Epoch :: 19 || Loss: 0.41609123 || it_count: 8344 || Val Loss: 0.45013476 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 01:50:48.90
Epoch :: 20 || Loss: 0.41563489 || it_count: 8344 || Val Loss: 0.45073205 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 01:56:39.16
Epoch :: 21 || Loss: 0.41490418 || it_count: 8344 || Val Loss: 0.45038387 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 02:02:30.46
Epoch :: 22 || Loss: 0.41465218 || it_count: 8344 || Val Loss: 0.45028398 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 02:08:21.64
Epoch :: 23 || Loss: 0.41447390 || it_count: 8344 || Val Loss: 0.45043064 || Val it_count: 1107 || Current Learning Rate: 0.0001 || Time: 02:14:13.19
Epoch :: 24 || Loss: 0.41873679 || it_count: 8344 || Val Loss: 0.43158452 || Val it_count: 1107 || Current Learning Rate: 0.0001 || Time: 02:20:0.48
Epoch :: 25 || Loss: 0.41550360 || it_count: 8344 || Val Loss: 0.42982788 || Val it_count: 1107 || Current Learning Rate: 0.0001 || Time: 02:25:51.07
Epoch :: 26 || Loss: 0.41444371 || it_count: 8344 || Val Loss: 0.42911267 || Val it_count: 1107 || Current Learning Rate: 0.0001 || Time: 02:31:41.23
Epoch :: 27 || Loss: 0.41373981 || it_count: 8344 || Val Loss: 0.42867008 || Val it_count: 1107 || Current Learning Rate: 0.0001 || Time: 02:37:24.94
Epoch :: 28 || Loss: 0.41322026 || it_count: 8344 || Val Loss: 0.42865084 || Val it_count: 1107 || Current Learning Rate: 0.0001 || Time: 02:43:9.16
Epoch :: 29 || Loss: 0.41294054 || it_count: 8344 || Val Loss: 0.42846950 || Val it_count: 1107 || Current Learning Rate: 0.0001 || Time: 02:48:57.18
Epoch :: 30 || Loss: 0.41257559 || it_count: 8344 || Val Loss: 0.42879375 || Val it_count: 1107 || Current Learning Rate: 0.0001 || Time: 02:54:43.13
Epoch :: 31 || Loss: 0.41240716 || it_count: 8344 || Val Loss: 0.42849859 || Val it_count: 1107 || Current Learning Rate: 0.0001 || Time: 03:00:29.40
Epoch :: 32 || Loss: 0.41222280 || it_count: 8344 || Val Loss: 0.42871562 || Val it_count: 1107 || Current Learning Rate: 0.0001 || Time: 03:06:19.83
Epoch :: 33 || Loss: 0.41202816 || it_count: 8344 || Val Loss: 0.42882306 || Val it_count: 1107 || Current Learning Rate: 0.0001 || Time: 03:12:8.08
Epoch :: 34 || Loss: 0.41192156 || it_count: 8344 || Val Loss: 0.42887374 || Val it_count: 1107 || Current Learning Rate: 0.0001 || Time: 03:17:52.83
Epoch :: 35 || Loss: 0.41179309 || it_count: 8344 || Val Loss: 0.42838191 || Val it_count: 1107 || Current Learning Rate: 0.0001 || Time: 03:23:38.50
Epoch :: 36 || Loss: 0.41154745 || it_count: 8344 || Val Loss: 0.42858919 || Val it_count: 1107 || Current Learning Rate: 0.0001 || Time: 03:29:23.48
Epoch :: 37 || Loss: 0.41141585 || it_count: 8344 || Val Loss: 0.42823194 || Val it_count: 1107 || Current Learning Rate: 0.0001 || Time: 03:35:13.59
Epoch :: 38 || Loss: 0.41107203 || it_count: 8344 || Val Loss: 0.42866211 || Val it_count: 1107 || Current Learning Rate: 0.0001 || Time: 03:41:2.01
Epoch :: 39 || Loss: 0.41108546 || it_count: 8344 || Val Loss: 0.42822730 || Val it_count: 1107 || Current Learning Rate: 0.0001 || Time: 03:46:48.66
