--------------------Training--------------------
arch_str :: |lstm_1~0|+|none~0|lstm_3~1|[linear->dropout->linear]
model :: 3F
InferCell(
  info :: nodes=3, inC=1, outC=64, [1<-(I0-L0) | 2<-(I0-L1,I1-L2)], genotype_str: lstm_1~0|none~0|lstm_3~1
  linear_layers: [linear->dropout->linear]
  (layers): ModuleList(
    (0): LSTM(
      (lstm): LSTM(1, 64, batch_first=True)
    )
    (1): Zero(C_in=1, C_out=64, stride=1)
    (2): LSTM(
      (lstm): LSTM(64, 64, num_layers=3, batch_first=True)
    )
  )
  (linear_layers): ModuleList(
    (0): Linear(in_features=3072, out_features=1536, bias=True)
    (1): Dropout(p=0.1, inplace=False)
    (2): Linear(in_features=1536, out_features=1, bias=True)
  )
)
tr_params :: epochs = 100, patience = 20, batch_size = 256, window_size = 48, data_size = 100
Model MACs: 10.434M, Model Params: 4.839M
learning rate scheduling :: (optimizer, mode='min', factor=0.1, patience=5, verbose=True)
total_samples :: train_dataset = 2136000, train_dataloader = 2136000
total_samples :: valid_dataset = 283200, valid_dataloader = 283200
Epoch ::  1 || Loss: 0.43180892 || it_count: 8344 || Val Loss: 0.45417690 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:11:6.90
Epoch ::  2 || Loss: 0.41845571 || it_count: 8344 || Val Loss: 0.45184431 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:22:15.29
Epoch ::  3 || Loss: 0.41802925 || it_count: 8344 || Val Loss: 0.45545722 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:33:29.42
Epoch ::  4 || Loss: 0.41755821 || it_count: 8344 || Val Loss: 0.45601362 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:44:45.18
Epoch ::  5 || Loss: 0.41719567 || it_count: 8344 || Val Loss: 0.45599712 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:56:1.87
Epoch ::  6 || Loss: 0.41677594 || it_count: 8344 || Val Loss: 0.45579327 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 01:07:20.22
Epoch ::  7 || Loss: 0.41695214 || it_count: 8344 || Val Loss: 0.45489247 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 01:18:40.47
Epoch ::  8 || Loss: 0.41684995 || it_count: 8344 || Val Loss: 0.45665999 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 01:30:1.39
Epoch ::  9 || Loss: 0.41651688 || it_count: 8344 || Val Loss: 0.45536181 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 01:41:23.32
Epoch :: 10 || Loss: 0.41613446 || it_count: 8344 || Val Loss: 0.45342589 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 01:52:45.07
Epoch :: 11 || Loss: 0.41619345 || it_count: 8344 || Val Loss: 0.45281956 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 02:04:8.16
Epoch :: 12 || Loss: 0.41588050 || it_count: 8344 || Val Loss: 0.45349146 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 02:15:30.63
Epoch :: 13 || Loss: 0.41515541 || it_count: 8344 || Val Loss: 0.45277976 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 02:26:53.12
Epoch :: 14 || Loss: 0.41521836 || it_count: 8344 || Val Loss: 0.45230602 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 02:38:15.71
Epoch :: 15 || Loss: 0.41503132 || it_count: 8344 || Val Loss: 0.45161224 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 02:49:34.39
Epoch :: 16 || Loss: 0.41513331 || it_count: 8344 || Val Loss: 0.45212687 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 03:00:53.12
