--------------------Training--------------------
arch_str :: |none~0|+|lstm_3~0|skip_connect~1|[linear->dropout->linear]
model :: 3F
InferCell(
  info :: nodes=3, inC=1, outC=64, [1<-(I0-L0) | 2<-(I0-L1,I1-L2)], genotype_str: none~0|lstm_3~0|skip_connect~1
  linear_layers: [linear->dropout->linear]
  (layers): ModuleList(
    (0): Zero(C_in=1, C_out=64, stride=1)
    (1): LSTM(
      (lstm): LSTM(1, 64, num_layers=3, batch_first=True)
    )
    (2): Identity()
  )
  (linear_layers): ModuleList(
    (0): Linear(in_features=3072, out_features=1536, bias=True)
    (1): Dropout(p=0.1, inplace=False)
    (2): Linear(in_features=1536, out_features=1, bias=True)
  )
)
tr_params :: epochs = 100, patience = 20, batch_size = 256, window_size = 48, data_size = 100
Model MACs: 8.812M, Model Params: 4.805M
learning rate scheduling :: (optimizer, mode='min', factor=0.1, patience=5, verbose=True)
total_samples :: train_dataset = 2136000, train_dataloader = 2136000
total_samples :: valid_dataset = 283200, valid_dataloader = 283200
Epoch ::  1 || Loss: 0.42609955 || it_count: 8344 || Val Loss: 0.45270949 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:05:45.26
Epoch ::  2 || Loss: 0.41766945 || it_count: 8344 || Val Loss: 0.45037250 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:11:31.03
Epoch ::  3 || Loss: 0.41705772 || it_count: 8344 || Val Loss: 0.44910296 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:17:9.90
Epoch ::  4 || Loss: 0.41724881 || it_count: 8344 || Val Loss: 0.44847974 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:22:57.03
Epoch ::  5 || Loss: 0.41706376 || it_count: 8344 || Val Loss: 0.44974993 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:28:38.79
Epoch ::  6 || Loss: 0.41676084 || it_count: 8344 || Val Loss: 0.44939919 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:34:17.97
Epoch ::  7 || Loss: 0.41650594 || it_count: 8344 || Val Loss: 0.44912139 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:40:6.83
Epoch ::  8 || Loss: 0.41611206 || it_count: 8344 || Val Loss: 0.44884686 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:45:46.50
Epoch ::  9 || Loss: 0.41611684 || it_count: 8344 || Val Loss: 0.44942782 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:51:26.27
Epoch :: 10 || Loss: 0.41557501 || it_count: 8344 || Val Loss: 0.45056385 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 00:57:14.08
Epoch :: 11 || Loss: 0.41526742 || it_count: 8344 || Val Loss: 0.45094498 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 01:02:53.51
Epoch :: 12 || Loss: 0.41491825 || it_count: 8344 || Val Loss: 0.44988743 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 01:08:37.97
Epoch :: 13 || Loss: 0.41462635 || it_count: 8344 || Val Loss: 0.44976424 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 01:14:25.45
Epoch :: 14 || Loss: 0.41429627 || it_count: 8344 || Val Loss: 0.44963992 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 01:20:5.89
Epoch :: 15 || Loss: 0.41381929 || it_count: 8344 || Val Loss: 0.44939928 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 01:25:54.57
Epoch :: 16 || Loss: 0.41333005 || it_count: 8344 || Val Loss: 0.44940246 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 01:31:34.10
Epoch :: 17 || Loss: 0.41227051 || it_count: 8344 || Val Loss: 0.44974294 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 01:37:14.88
Epoch :: 18 || Loss: 0.41134363 || it_count: 8344 || Val Loss: 0.44802734 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 01:43:3.73
Epoch :: 19 || Loss: 0.41362283 || it_count: 8344 || Val Loss: 0.44461650 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 01:48:45.71
Epoch :: 20 || Loss: 0.41237568 || it_count: 8344 || Val Loss: 0.44563736 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 01:54:28.89
Epoch :: 21 || Loss: 0.41057690 || it_count: 8344 || Val Loss: 0.44653530 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 02:00:18.19
Epoch :: 22 || Loss: 0.41011412 || it_count: 8344 || Val Loss: 0.44717181 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 02:05:59.97
Epoch :: 23 || Loss: 0.40969585 || it_count: 8344 || Val Loss: 0.44798316 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 02:11:53.17
Epoch :: 24 || Loss: 0.40924119 || it_count: 8344 || Val Loss: 0.44788201 || Val it_count: 1107 || Current Learning Rate: 0.001 || Time: 02:17:36.72
Epoch :: 25 || Loss: 0.40862524 || it_count: 8344 || Val Loss: 0.44886180 || Val it_count: 1107 || Current Learning Rate: 0.0001 || Time: 02:23:20.65
Epoch :: 26 || Loss: 0.41559977 || it_count: 8344 || Val Loss: 0.43128126 || Val it_count: 1107 || Current Learning Rate: 0.0001 || Time: 02:29:12.38
Epoch :: 27 || Loss: 0.41278189 || it_count: 8344 || Val Loss: 0.43039962 || Val it_count: 1107 || Current Learning Rate: 0.0001 || Time: 02:34:55.39
Epoch :: 28 || Loss: 0.41178694 || it_count: 8344 || Val Loss: 0.42973768 || Val it_count: 1107 || Current Learning Rate: 0.0001 || Time: 02:40:40.29
Epoch :: 29 || Loss: 0.41102784 || it_count: 8344 || Val Loss: 0.42974385 || Val it_count: 1107 || Current Learning Rate: 0.0001 || Time: 02:46:31.77
Epoch :: 30 || Loss: 0.41048390 || it_count: 8344 || Val Loss: 0.42942191 || Val it_count: 1107 || Current Learning Rate: 0.0001 || Time: 02:52:15.51
Epoch :: 31 || Loss: 0.41019323 || it_count: 8344 || Val Loss: 0.42926218 || Val it_count: 1107 || Current Learning Rate: 0.0001 || Time: 02:58:1.98
Epoch :: 32 || Loss: 0.40987265 || it_count: 8344 || Val Loss: 0.42904431 || Val it_count: 1107 || Current Learning Rate: 0.0001 || Time: 03:03:54.22
Epoch :: 33 || Loss: 0.40952839 || it_count: 8344 || Val Loss: 0.42879686 || Val it_count: 1107 || Current Learning Rate: 0.0001 || Time: 03:09:36.75
Epoch :: 34 || Loss: 0.40920310 || it_count: 8344 || Val Loss: 0.42870313 || Val it_count: 1107 || Current Learning Rate: 0.0001 || Time: 03:15:26.83
Epoch :: 35 || Loss: 0.40892420 || it_count: 8344 || Val Loss: 0.42861830 || Val it_count: 1107 || Current Learning Rate: 0.0001 || Time: 03:21:10.54
Epoch :: 36 || Loss: 0.40861079 || it_count: 8344 || Val Loss: 0.42851795 || Val it_count: 1107 || Current Learning Rate: 0.0001 || Time: 03:26:55.20
Epoch :: 37 || Loss: 0.40833119 || it_count: 8344 || Val Loss: 0.42850441 || Val it_count: 1107 || Current Learning Rate: 0.0001 || Time: 03:32:45.97
Epoch :: 38 || Loss: 0.40803838 || it_count: 8344 || Val Loss: 0.42831665 || Val it_count: 1107 || Current Learning Rate: 0.0001 || Time: 03:38:29.92
Epoch :: 39 || Loss: 0.40777357 || it_count: 8344 || Val Loss: 0.42808632 || Val it_count: 1107 || Current Learning Rate: 0.0001 || Time: 03:44:12.03
Epoch :: 40 || Loss: 0.40743914 || it_count: 8344 || Val Loss: 0.42816911 || Val it_count: 1107 || Current Learning Rate: 0.0001 || Time: 03:50:3.19
Epoch :: 41 || Loss: 0.40724965 || it_count: 8344 || Val Loss: 0.42785985 || Val it_count: 1107 || Current Learning Rate: 0.0001 || Time: 03:55:45.11
